keys,en,es,zh,it,pl,pt,es_SV,fr,nb,ru
DELETE_DATA_CONFIRM,"are you sure you want to delete all your data?\nthis will delete your saves and reset the ""skip"" button","todos tus datos se eliminarán.\nse eliminarán todas las partidas guardadas y se restablecerá el botón de ""saltar""",你确定要删除所有的进度吗？\n该选项会清除你的存档并重置“跳过”按钮,"confermi di voler cancellare tutti i tuoi dati?\nquesto cancellerà i tuoi progressi e resetterà il tasto ""salta""","na pewno chcesz usunąć wszystkie dane?\nto usunie twoje zapisy i zresetuje przycisk ""pomiń""","certeza que você quer deletar todos os seus dados?\nisso vai deletar todos os seus saves e resetar o botão ""pular""","¿estás seguro de que quieres borrar todos los datos?\nesto borrará tus partidas guardadas y reiniciará el botón ""saltar""",voulez-vous vraiment supprimer toutes les données ?\nvos sauvegardes seront perdues et l'option « passer » sera désactivée par défaut.,"er du sikker du vil slette all dataen din?\ndette vil slette lagrefilene dine og tilbakestille ""hoppeknappen""","вы уверены что хотите удалить все свои данные?\nэто удалит ваши сохранения и сбросит кнопку ""пропуск"""
yes,yes,aceptar,是,sì,tak,sim,sí,oui,ja,да
no,no,cancelar,否,no,nie,não,no,non,nei,нет
data deleted.,data deleted.,datos eliminados.,进度已删除,dati cancellati.,dane usunięte.,dados deletados.,los datos han sido borrados.,données supprimées.,data slettet,данные удалены.
load autosave,load autosave,cargar autoguardado,加载自动存档,carica autosalvataggio,załaduj automatyczny zapis,carregar autosave,cargar guardado automático,charger une sauvegarde automatique,last inn autolagring,загрузить автосохранение
MAIN_READY,ready!\nclick to continue,¡listo!\nhaz click para continuar,已就绪！\n按任意键继续,finito!\nclicca per continuare,gotowe!\nkliknij by kontynuować,pronto!\nclique para continuar,¡listo!\nhaz clic para continuar,chargement terminé !\ncliquez pour continuer,klar!\nklikk for å forstsette,готово!\nнажмите чтобы продолжить
start,start,empezar,开始,inizia,rozpocznij,começar,empezar,commencer,start,начать
load,load,cargar,载入,carica,załaduj,carregar,cargar,charger,last inn,загрузить
options,options,opciones,选项,opzioni,opcje,opções,ajustes,options,innstillinger,опции
info,info,información,制作人员名单,informazioni,informacje,sobre,información,info,informasjon,информация
exit,exit,salir,退出,esci,wyjście,sair,salir,quitter,forlat,выход
a game by niv,a game by niv,un juego creado por niv,制作人：Niv,un gioco creato da niv,gra stworzona przez niv,um jogo feito pelo niv,un juego creado por niv,un jeu de niv,et spill av niv,игра от niv
"note: this is the web version of purrgatory. for higher quality and smoother gameplay, try the windows version!","note: this is the web version of purrgatory. for higher quality and smoother gameplay, try the windows version!",nota: esta es la versión web de purrgatorio. la versión de windows ofrece una mayor calidad y jugabilidad.,注：该版本为网页版，如果想拥有更高质量与更为流畅的游戏体验，请尝试windows版！,"nota: questa è la versione web di purrgatory. per una qualità migliore e un gameplay più fluido, prova la versione windows!","uwaga: jest to wersja internetowa purrgatory. dla lepszej jakości i gładszej rozgrywki, wypróbuj wersję na windows!","nota: essa é a versão da web de purrgatory. para maior qualidade e gameplay mais suave, experimente a versão do windows!","nota: esta es la versión web de purrgatory. para una mejor calidad y un juego más fluido, ¡prueba la versión para windows!","note : ceci est la version web de purrgatory. pour une meilleure qualité et un gameplay plus fluide, essayez la version windows !","notat: dette er nettversjonen av purrgatory. for høyere kvalitet og jevnere spilling, prøv windows-versjonen!",примечание: это веб версия purrgatory. для более качественной и плавной игры попробуйте полную версию!
hotkeys,hotkeys,atajos de teclado,热键,scorciatoie,skróty klawiszowe,atalhos,teclas de acceso rápido,raccourcis,hurtigtaster,горячие клавиши
space,space,espacio,空格,barra spaziatrice,spacja,espaço,espacio,espace,mellomrom,пробел
advance text,advance text,avanzar el diálogo,下一句,avanza con il testo,tekst zaawansowany,avançar texto,saltar texto,accélérer le texte,forhåndstekst,предварительный текст
"1, 2, 3, 4","1, 2, 3, 4","1, 2, 3, 4","1, 2, 3, 4","1, 2, 3, 4","1, 2, 3, 4","1, 2, 3, 4","1, 2, 3, 4","1, 2, 3, 4","1, 2, 3, 4","1, 2, 3, 4"
choose option,choose option,elegir respuestas,选择选项,scegli opzione,wybierz opcję,escolher opção,escoger opción,choisir une option,velg instillinger,выбрать опцию
escape,escape,escape,esc,scappa,wyjdź,escape,esc,esc,esc,escape
open pause menu,open pause menu,menú de pausa,打开暂停菜单,apri il menu di pausa,otwórz menu pauzy,abrir menu de pausa,abrir menú de pausa,ouvrir le menu de pause,åpne pausemenyen,открыть меню паузы
tab,tab,tabulador,tab,tab,tab,tab,tab,tab,tab,tab
skip,skip,saltar,跳过,salta,pomiń,pular,saltar texto,passer,hopp over,пропуск
h,h,h,h,h,h,h,h,h,h,h
history,history,historial,历史,storia,historia,história,historial,historique,logg,история
t,t,t,t,t,t,t,t,t,t,t
to do,to do,tareas,待办,da fare,do zrobienia,tarefas,tareas,tâches,å gjøre,задачи
i,i,i,i,i,i,i,i,i,i,i
items,items,objetos,物品,oggetti,przedmioty,itens,objetos,inventaire,varer,предметы
credits,credits,créditos,制作人员名单,crediti,napisy końcowe,créditos,créditos,crédits,kreditter,титры
a game by,a game by,un juego creado por,制作人：,un gioco creato da,gra stworzona przez,um jogo feito pelo,un juego creado por,un jeu de,et spill av,игра от
"story, art, music, and code","story, art, music, and code","guion, dibujo, música y programación",编剧，美术，音乐，程序,"storia, arte, musica e codice","fabuła, oprawa graficzna, muzyka, kod","história, arte, música, e programação","historia, arte, música y programación","scénario, art, musique et code","historie, kunst, musikk og kode","история, рисунок, музыка и код"
with story help from,with story help from,asistencia de guion,编剧协助,con aiuto per la storia da,z pomocą przy fabule od,com ajuda de história de,colaboración en la historia,avec l’aide narrative de,med historie hjelp fra,с сюжетной помощью от
additional code,additional code,asistencia de programación,程序协助,codice aggiuntivo,dodatkowy kod,código adicional,programación adicional,code additionnel,tilleggskode,дополнительный код
art,art,dibujo,美术,arte,oprawa graficzna,arte,arte,art,kunst,рисунок
tracing,tracing,delineado,线稿,tracing,sprawdzenie,traço,trazados,tracing,sporing,трассировка
character design help,character design help,asistencia de diseño,角色设计协助,aiuto creazione personaggi,pomoc przy kreacji postaci,ajuda com o design de personagem,ayuda con el diseño de personajes,aide character design,karakterdesign hjelp,помощь с дизайном персонажей
background help,background help,asistencia para los fondos,背景设计协助,aiuto background,pomoc przy kreacji tła,ajuda com o plano de fundo,ayuda con los fondos,aide background,bakgrunn hjelp,помощь с фоном
music,music,música,音乐,musica,muzyka,música,música,musique,musikk,музыка
additional music,additional music,música adicional,额外音乐,musica aggiuntiva,dodatkowa muzyka,música adicional,música adicional,musique additionnelle,ekstra musikk,дополнительная музыка
written by,written by,guion,作曲,scritto da,napisane przez,escrito por,escrito por,écrite par,skrevet av,создано
guitar,guitar,guitarra,吉他,chitarra,gitara,guitarra,guitarra,guitare,gitar,гитара
vocals,vocals,voz,演唱,voci,wokal,vocais,voz,voix,vokaler,вокал
other,other,otros,其他,altro,inne,outros,otros,autres,annet,другое
testing,testing,pruebas,测试,testing,testowanie,testes,testeo,test,testing,тестирование
special thanks,special thanks,agradecimientos,特别感谢,ringraziamenti speciali,specjalne podziękowania,agradecimentos especiais,agradecimientos especiales,remerciements spéciaux,spesiell takk,особые благодарности
sound effects,sound effects,efectos de sonido,音效,effetti sonori,efekty dźwiękowe,efeitos sonoros,efectos de sonido,effets sonores,lydeffekter,звуковые эффекты
additional assets,additional assets,recursos adicionales,额外素材,elementi aggiuntivi,dodatkowe zasoby,assets adicionais,características adicionales,ressources additionnelles,ekstra eiendeler,дополнительные ресурсы
ADDITIONAL_ASSETS_DESC,text-to-speech module\n3d outline shader\n3d cat model\nsource sans pro font,sintetizador de voz\nsombras del delineado 3d\nmodelo 3d del gato\nfuente source sans pro,tts模块\n3d轮廓渲染\n3d猫猫模型\n字体来源,modulo sintesi vocale\nshader contorno 3d\nmodello gatto 3d\nsource sans pro font,przetwarzanie tekstu na mowę\nshader krawędzi 3D\nmodel kota 3D\nczcionka source sans pro,módulo de texto-para-fala\nshader de contorno 3D\nmodelo de gato 3D\nfonte source sans pro,narrador de texto\nsombreador de trazos 3d\nmodelo 3d del gato\nfuente de texto: sans pro font,module de synthèse vocale\nshader pour les contours de modèle 3D\nmodèle 3D de chat\npolice source sans pro,tekst til tale modul\n3d konturskyggelegging\n3d kattemodell\nkilde sans pro font,модуль озвучивания текста\n3d контурный шейдер\n3d модель кота\nsource sans pro шрифт
thanks for playing!,thanks for playing!,¡gracias por jugar!,感谢游玩！,grazie per aver giocato!,dziękuję za zagranie!,agradecemos por jogar!,¡gracias por jugar!,merci d'avoir joué !,takk for at du spillet!,спасибо за игру!
the end?,the end?,¿fin?,结局？,la fine?,koniec?,o fim?,¿el fin?,fin ?,slutten?,конец?
YOU_SAVED_SINGULAR,you saved 1 person,salvaste a 1 persona,你拯救了1人,hai salvato 1 persona,ocalono 1 osobę,você salvou 1 pessoa,salvaste a 1 persona,vous avez sauvé 1 personne,du reddet 1 person,вы спасли 1 человека
YOU_SAVED_PLURAL,you saved # people,salvaste a # personas,你拯救了#人,hai salvato # persone,ocalono # ludzi,você salvou # pessoas,salvaste a # personas,vous avez sauvé # personnes,du reddet # personer,вы спасли # человек
skip,skip,saltar,跳过,salta,pomiń,pular,saltar,passer,hopp over,пропуск
save and return,save and return,guardar y volver,保存并返回,salva e ritorna,zapisz i wróć,salvar e voltar,guardar y volver,sauvegarder et retourner au jeu,lagre og gå tilbake,сохранить и вернуться
reset settings,reset settings,reestablecer configuración,重置设定,resetta impostazioni,zresetuj ustawienia,resetar configuração,reestablecer ajustes,réinitialiser les paramètres,tilbakestill instillinger,сбросить настройки
text size,text size,tamaño del texto,文字大小,dimensioni testo,rozmiar tekstu,tamanho do texto,tamaño del texto,taille du texte,tekststørrelse,размер текста
preview,preview,vista previa,预览,anteprima,podgląd,visualizar,vista previa,aperçu,forhåndsvise,предпросмотр
music volume,music volume,música,音乐音量,volume musica,głośność muzyki,volume da música,música,volume de la musique,musikkvolum,громкость музыки
sfx volume,sfx volume,sonidos,音效音量,volume effetti sonori,głośność efektów dźwiękowych,volume dos efeitos sonoros,efectos,volume des effets sonores,sfxvolum,громкость эффектов
fullscreen,fullscreen,pantalla completa,全屏,schermo intero,tryb pełnoekranowy,tela cheia,pantalla completa,plein écran,fullskjerm,полный экран
window size,window size,tamaño de ventana,窗口大小,grandezza finestra,tryb widoku z okna,tamanho da janela,resolución de la pantalla,mode fenêtré,vindusstørrelse,оконный режим
self-voicing,self-voicing,voz automática,文字转语音,voce automatica,synteza mowy,dublagem automática,narrador de texto,synthèse vocale,selvstemming,озвучивание
test,test,probar,测试,test,test,testar,probar,test,test ,тест
voice speed,voice speed,velocidad de voz,语音速度,velocità voce,szybkość mówienia,velocidade de voz,velocidad del narrador,vitesse des voix,stemmehastighet,скорость голоса
self-voicing sample,self-voicing sample,prueba del lector de pantalla,这是一段测试语音,esempio sintesi vocale,próbka syntezy mowy,amostra da dublagem automática,muestra de voz del narrador de texto,extrait de synthèse vocale,selvstemming prøve,пример озвучивания
enable to do list,enable to do list,habilitar la lista de tareas,开启待办菜单,attiva lista cose da fare,włącz listę rzeczy do zrobienia,exibir lista de tarefas,habilitar lista de tareas,activer la liste des tâches,aktiver å gjøre-liste,включить список задач
automatically keeps track of certain objectives,automatically keeps track of certain objectives,registra ciertos objetivos de manera automática,能够自动记录某些任务目标,tieni traccia automaticamente di alcuni obiettivi,automatycznie śledzi pewne cele,automaticamente manter acompanhamento de certos objetivos,controla automáticamente ciertos objetivos,suit automatiquement certains objectifs,holder automatisk styr på visse mål,автоматически следит за определенными целями
low contrast mode,low contrast mode,contraste bajo,护眼模式,modalità contrasto basso,tryb niskiego kontrastu,modo de baixo contraste,modo de bajo contraste,mode faible contraste,lav kontrast modus,режим низкой контрастности
note: some options not available in the web build,note: some options not available in the web build,nota: algunas opciones no están disponibles en la versión web,注意：部分选项在网页版不可用,nota: alcune opzioni non sono disponibili nella modalità web,uwaga: niektóre opcje nie są dostępne w wersji web,nota: algumas opções não estão disponíveis na versão da web,nota: algunos ajustes no están disponibles en la versión web,note : certaines options ne sont pas disponibles sur la version web,notat: noen alternativer er ikke tilgjengelige i nettbyggingen,примечание: некоторые опции не доступны в веб версии
"note: purrgatory looks best at its original resolution, 1280 x 720!","note: purrgatory looks best at its original resolution, 1280 x 720!",nota: es recomendable jugar este juego en su resolución original (1280 x 720),注：喵的炼狱在原生分辨率下显示效果最好，即1280 x 720！,nota: purrgatory funziona meglio nella risoluzione originaria 1280x720!,"uwaga: purrgattory wygląda najlepiej w pierwotnej rozdzielczości, 1280 x 720!","nota: purrgatory fica melhor na sua resolução original, 1280 x 720!","nota: purrgatory se ve mejor en su resolución original, ¡1280x720!",note : la résolution optimale pour purrgatory est de 1280x720 !,"notat: spillet ser best ut med sin originale oppløsning, 1280 x 720!","примечание: purrgatory выглядит лучше в оригинальном разрешении, 1280 x 720!"
QUIP_CAT,"meow meow, meow meow meow :3","miau miau, miau miau miau :3",喵喵，喵喵喵 :3,"miao, miao, miao, miao, miao :3","miau miau, miau miau miau :3","miau miau, miau miau miau :3","miau miau, miau miau miau :3","miaou miaou, miaou miaou miaou :3","mjau mjau, mjau mjau mjau :3","мяу мяу, мяу мяу мяу :3"
QUIP_OLIVER,"to meow, or not to meow, that is the question!","¿no es cierto, ángel de amor, que en esta apartada orilla más pura la luna brilla y se maúlla mejor?",是要喵，还是不要喵，这是问题所在！,"miagolare o non miagolare, questo è il dilemma!",miau czy nie miau; oto jest pytanie!,"miar, ou não miar, essa é questão!","maullar o no maullar, ¡he ahí el dilema!","miauler ou ne pas miauler, telle est la question !","å mjaue eller ikke, det er spørsmålet!","мяу, или не мяу, вот в чем вопрос!"
QUIP_KYUNGSOON,hmmm. that\'s an options menu,em. pues un menú de opciones,嗯——这是个设置菜单,mmmh. è il menu delle impostazioni,hmmm. to jest menu opcji,hmmmm. isso é um menu de opções,"hmmm, este es el menú de ajustes",hmmm. ceci est un menu d\'options,hmmm. det er en innstillingsmeny,хммм. это меню опций
QUIP_NUMA,HEY!! change the font size right now! i mean... if you want.,¡OYE! ¡ya estás cambiando el tamaño de la letra! bueno... si te apetece.,嘿！！快改一下字体大小！我是说…如果你想的话,EHI!! cambia subito la grandezza del font! se vuoi... ovviamente.,EJ!! zmień natychmiast rozmiar czcionki! to znaczy… jeśli chcesz.,EI!! mude o tamanho da fonte agora mesmo! quero dizer... se você quiser.,¡¡OYE!! ¡cambia el tamaño de la fuente de texto ahora mismo! digo.... solo si tú quieres.,HÉ !!! changez tout de suite la taille des caractères ! enfin... si vous voulez.,HEI!! endre skriftstørrelsen nå! jeg mener... hvis du vil.,ЭЙ!! поменяй размер шрифта прямо сейчас! я имею ввиду… если хочешь.
QUIP_SEAN,what\'s a nice player like you doing in a menu like this? (;,y... ¿vienes mucho por este menú de opciones? (;,你这样可爱的玩家在菜单里做什么呢 (;,cosa ci fa un bell'utente come te in questo menu? ;),co taki miły gracz jak ty robi w takim menu? (;,o que um jogador legal como você fazendo em um menu como esse? (;,¿qué hace un{/a/e} lind{o/a/e} jugador{/a/e} como tú en un menú como este? (;,qu\'est-ce qu\'un canon comme vous fait dans un menu comme celui-ci ? (;,hva gjør en hyggelig spiller som deg i en meny som denne? (:,что такой хороший игрок как ты делает в таком меню? (;
QUIP_ELIJAH,'tis better to have meowed and lost than never to have meowed at all.,"que toda la vida es un gato, y los gatos, gatos son.",喵过却失去，总比从未喵过好,meglio aver miagolato e perso che non aver miagolato affatto.,"lepiej zamiauczeć i przegrać, niż wcale nie zamiauczeć.",é melhor ter dado miado e perdê-lo do que nunca ter miado,es mejor maullar y perderse que nunca haber maullado.,l'homme est un chat pour l'homme.,d'er bedre å ha mjauet og mistet alt enn aldri å ha mjauet i det hele tatt.,лучше мяукнуть и проиграть чем никогда и не мяукнуть.
QUIP_TORI,what are you doing fiddling with the settings? there\'s a game to play!,¿se puede saber qué haces mirando la configuración? ¡ponte a jugar!,你怎么还在这摆弄设置？还有游戏要玩！,perché perdi tempo con le impostazioni? hai un gioco da giocare!,czemu bawisz się ustawieniami? tam jest gra do grania!,o que você tá fazendo mexendo com as opções? tem um jogo a ser jogado!,¿qué haces toqueteando los ajustes? ¡hay un juego que jugar!,qu'est-ce que vous faites dans le menu d'options ? allez jouer au jeu !,hva gjør du og fikler med alle innstillingene? det er et spill å spille!,что ты возишься с этими настройками? тебя там игра ждет!
QUIP_NATALIE,zzz... huh? where am i?,zzz... ¿eing? ¿dónde estoy?,zzz…哎？咱在哪？,zzz... eh? dove sono?,zzz… hę? gdzie ja jestem?,zzz... que? onde é que eu tô? (lagoinha)?,zzz... ¿ah? ¿en dónde estoy?,zzz... hein ? je suis où ?,zzz... hæ? hvor er jeg?,хрр… а? где я?
erase,erase,borrar,擦除,cancella,usuń,apagar,borrar,effacer,visk ut,стереть
press up repeatedly to hold on!!,press up repeatedly to hold on!!,¡pulsa [arriba] para no caerte!,反复按上键以坚持！！,premi ripetutamente su per resistere!!,"klikaj strzałkę w górę, aby się trzymać!!",aperte para cima repetidamente para segurar!!,¡¡presiona arriba repetidamente para aguantar!!,appuyez sur la flèche du haut pour vous accrocher !!,trykk gjentatte ganger for å holde på!!,продолжай нажимать вверх чтобы держаться!!
just hang on!,just hang on!,¡aguanta ahí!,你就坚持一下！,non mollare!,trzymaj się!,só segura firme!,¡solo aguanta!,accroche-toi !,bare hold på!,только держись!
why are you so heavy??,why are you so heavy??,¡¿cómo pesas tanto?!,你为什么这么重？？,perché sei così pesante?,dlaczego jesteś tak{i/a/ie/x} ciężk{i/a/ie/x},porque você tem tanto peso??,¿por qué pesas tanto?,pourquoi tu pèses si lourd ??,hvorfor er du så tung??,почему тебя так тяжело поднимать?
i'm sorry i guess??,i'm sorry i guess??,¡pues perdóname!,我很抱歉？？,huh scusa??,no przepraszam??,me desculpa eu acho??,"lo siento, ¿¿supongo??",bah excuse-moi !!,beklager??,ну простите наверное??
least i'm getting my arm workout for the day...,least i'm getting my arm workout for the day...,esto cuenta como día de brazo...,至少我今天胳膊锻炼量有了…,almeno ho allenato un po' il braccio...,przynajmniej mam z głowy trening ramion na dziś…,pelo menos eu fiz meu exercício de braço diário...,al menos estoy haciendo mi entrenamiento de brazos del día...,au moins j'aurais fait mes exercices de bras pour la journée...,ved det minste får jeg armtrening min i dag...,зато я получаю свою тренировку рук на день...
you okay down there??,you okay down there??,¡¿estás bien?!,你在下面没事吗？？,tutto bene laggiù?,wszystko w porządku tam na dole??,tá tudo bem aí em baixo??,¿¿todo bien ahí abajo??,ça va en bas ??,går det bra der nede??,ты там в порядке??
what sort of a question is that??,what sort of a question is that??,¡¿qué clase de pregunta es esa?!,那是什么样的问题啦？？,che razza di domande fai??,co to za pytanie??,que tipo de pergunta é essa?,¿¿qué clase de pregunta es esa??,à ton avis ??,hva slags spørsmål er det??,что это за вопрос??
almost there!!,almost there!!,¡ya casi estás!,快了！！,ci sono quasi!!,już prawie!!,quase lá!!,¡¡ya casi!!,encore un peu !!,nesten der!!,почти здесь!!
done,done,hecho,完成,fatto,zrobione,pronto,listo,fini,ferdig,все
skip,skip,saltar,跳过,salta,pomiń,pular,saltar,passer,hopp over,пропуск
sure?,sure?,¿abandonar?,确定？,confermi?,na pewno?,certeza?,¿seguro?,confirmer ?,sikkert?,точно?
yes,yes,sí,是,sì,tak,sim,sí,oui,ja,да
no,no,no,否,no,nie,não,no,non,nei,нет
translation,translation,traducción,翻译,traduzione,tłumaczenie,tradução,traducción,traduction,oversettelse,перевод
language,language,idioma,语言,lingua,język,idioma,idioma,langue,språk,язык
spanish translation (spain),spanish translation (spain),traducción al español de españa,西班牙语翻译（西班牙）,traduzione spagnolo (spagna),hiszpańska wersja językowa (hiszpania),tradução espanhola (espanha),traducción al español de españa,traduction espagnole (espagne),spansk oversettelse (spania),испанский перевод (испания)
spanish translation (latin america),spanish translation (latin america),traducción al español de latinoamérica,西班牙语翻译（拉丁美洲）,traduzione spagnolo (america latina),hiszpańska wersja językowa (ameryka łacińska),tradução espanhola (américa latina),traducción al español de latinoamérica,traduction espagnole (amérique latine),spansk oversettelse (latin-amerika),испанский перевод (латинская америка)
chinese translation,chinese translation,traducción al chino,简体中文翻译,traduzione cinese,chińska wersja językowa,tradução chinesa,traducción al chino,traduction chinoise,kinesisk oversettelse,китайский перевод
chinese translation support,chinese translation support,asistencia de traducción al chino,简体中文翻译协助,supporto traduzione cinese,wsparcie powstawania chińskiej wersji językowej,suporte da tradução chinesa,apoyo de traducción al chino,aide pour la traduction chinoise,støtte til kinesisk oversettelse,поддержка китайского перевода
italian translation,italian translation,traducción al italiano,意大利语翻译,traduzione italiano,włoska wersja językowa,tradução italiana,traducción al italiano,traduction italienne,italiansk oversettelse,итальянский перевод
italian translation support,italian translation support,asistencia de traducción al italiano,意大利语翻译协助,supporto traduzione italiano,wsparcie powstawania włoskiej wersji językowej,suporte da tradução italiana,apoyo de traducción al italiano,aide pour la traduction italienne,støtte til italiansk oversettelse,поддержка итальянского перевода
polish translation,polish translation,traducción al polaco,波兰语翻译,traduzione polacco,polska wersja językowa,tradução polonesa,traducción al polaco,traduction polonaise,polsk oversettelse,польский перевод
polish translation support,polish translation support,asistencia de traducción al polaco,波兰语翻译协助,supporto traduzione polacco,wsparcie powstawania polskiej wersji językowej,suporte da tradução polonesa,apoyo de traducción al polaco,aide pour la traduction polonaise,støtte til polsk oversettelse,поддержка польского перевода
portuguese translation (brazil),portuguese translation (brazil),traducción al portugués de brasil,葡萄牙语翻译（巴西）,traduzione portoghese (brasile),portugalska wersja językowa (brazylia),tradução portuguesa (brasil),traducción al portugués de brasil,traduction portugaise (brésil),portugisisk oversettelse (brasil),португальский перевод (Бразилия)
portuguese translation support,portuguese translation support,asistencia de traducción al portugués,葡萄牙语翻译协助,supporto traduzione portoghese,wsparcie powstawania portugalskiej wersji językowej,suporte da tradução portuguesa,apoyo de traducción al portugués,aide pour la traduction portugaise (brésil),støtte til portugisisk oversettelse,поддержка португальского перевода
french translation,french translation,traducción al francés,法语翻译,traduzione francese,francuska wersja językowa,tradução francesa ,traducción al francés,traduction française,fransk oversettelse,французский перевод
french translation support,french translation support,asistencia de traducción al francés,法语翻译协助,supporto traduzione francese,wsparcie powstawania francuskiej wersji językowej,suporte da tradução francesa,apoyo de traducción al francés,aide pour la traduction française,støtte til fransk oversettelse,поддержка французского перевода
norwegian translation,norwegian translation,,,traduzione norvegese,,tradução norueguesa,traducción al noruego,,norsk (bokmål) oversettelse,норвежский перевод
norwegian translation support,norwegian translation support,,,supporto traduzione norvegese,,suporte da tradução norueguesa,apoyo de traducción al noruego,,støtte til norsk (bokmål) oversettelse,поддержка норвежского перевода
russian translation,russian translation,,,traduzione russa,,tradução russa,traducción al ruso,,russisk oversettelse ,русский перевод
russian translation support,russian translation support,,,supporto traduzione russa,,suporte da tradução russa,apoyo de traducción al ruso,,støtte til russisk oversettelse,поддержка русского перевода
cat,cat,gato,猫,gatto,kot,gato,gato,chat,katt,кот
you,you,tú,你,tu,ty,você,tú,vous,du,ты
receptionist,receptionist,recepcionista,接待员,la receptionist,recepcjonistka,recepcionista,recepcionista,réceptionniste,resepsjonist,администратор
operator,operator ,telefonista,接线员,l'operatore,operator,operador,operadora,standardiste,operatør,оператор
kyungsoon,kyungsoon,kyungsoon,京纯,kyungsoon,kyungsoon,kyungsoon,kyungsoon,kyungsoon,kyungsoon,кингсун
oliver,oliver,oliver,奥利弗,oliver,oliver,oliver,oliver,oliver,oliver,оливер
numa,numa,numa,纽玛,numa,numa,numa,numa,numa,numa,нума
elijah,elijah,elijah,伊莱贾,elijah,elijah,elijah,elijah,elijah,elijah,элайджа
sean,sean,sean,肖恩,sean,sean,sean,sean,sean,sean,шон
tori,tori,tori,托丽,tori,tori,tori,tori,tori,tori,тори
natalie,natalie,natalie,娜塔丽,natalie,natalie,natalie,natalie,natalie,natalie,натали
lucifur,lucifur,lucifur,喵西法,lucipelo,lucifur,gatanás,lucifur,chatan,lucifur,люцефер
my favorite food,my favorite food,mi comida favorita,我最喜爱的食物,il mio cibo preferito,moje ulubione jedzenie,minha comida favorita,mi comida favorita,ma nourriture préférée,favorittmaten min,моя любимая еда
something about myself,something about myself,algo sobre mí,关于我自己的事情,qualcosa su di me,coś o mnie,algo sobre mim,algo sobre mí,un fait me concernant,noe om meg,что-то обо мне
where i grew up,where i grew up,el lugar donde me crié,我长大的地方,il luogo della mia infanzia,gdzie dorastał{em/am/om/xm},onde eu cresci,el lugar donde crecí,l'endroit où j'ai grandi,hvor jeg vokste opp,место взросления
someone i admired,someone i admired,alguien a quien admiraba,我崇拜的某人,una persona che ammiravo,"ktoś, kogo podziwiał{em/am/om/xm}",alguém que eu admiro,alguien a quien admirabas,une personne que j'admirais,noen jeg så opp til,кто-то кем я восхищаюсь
